"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"The application requires a password to be entered before signing in.","678","should display error message with empty password","SauceDemo","2025-12-22","passed","2025-12-22","Sign In to the Store > Invalid Sign In","Login Tests","",""
"The application requires a username to be entered before signing in.","680","should display error message with empty username","SauceDemo","2025-12-22","passed","2025-12-22","Sign In to the Store > Invalid Sign In","Login Tests","",""
"The application rejects sign-in attempts with incorrect username or password.","663","should display error message with invalid credentials","SauceDemo","2025-12-22","passed","2025-12-22","Sign In to the Store > Invalid Sign In","Login Tests","",""
"Verifies that a specific product can be added to the cart by its name.","844","should add item to cart by name and verify","SauceDemo","2025-12-22","passed","2025-12-22","Add Item to Cart","Cart Tests","",""
"Locked out users are blocked from accessing the application.","694","should display error message with locked out user","SauceDemo","2025-12-22","passed","2025-12-22","Sign In to the Store > Blocked Sign In","Login Tests","",""
"Verifies that a product can be removed from the cart.","885","should remove item from cart","SauceDemo","2025-12-22","passed","2025-12-22","Remove Item from Cart","Cart Tests","",""
"Verifies that the first product can be added to the cart.","1635","should add first item to cart and verify in cart","SauceDemo","2025-12-22","passed","2025-12-22","Add Item to Cart","Cart Tests","",""
"Users with valid credentials can access their account.","878","should successfully login with valid credentials","SauceDemo","2025-12-22","passed","2025-12-22","Sign In to the Store","Login Tests","",""
"Verifies that product details (name, price) are preserved when added to the cart.","846","should add item to cart and verify item details","SauceDemo","2025-12-22","passed","2025-12-22","Add Item to Cart","Cart Tests","",""
"Verifies that multiple products can be added to the cart simultaneously.","944","should add multiple items to cart","SauceDemo","2025-12-22","passed","2025-12-22","Add Item to Cart","Cart Tests","",""
