"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Users with valid credentials can access their account.","1960","should successfully login with valid credentials","SauceDemo","2026-01-05","passed","2026-01-05","Sign In to the Store","Authentication Tests","",""
"Verifies that product details (name, price) are preserved when added to the cart.","994","should add item to cart and verify item details","SauceDemo","2026-01-05","passed","2026-01-05","Add Item to Cart","Cart Tests","",""
"Locked out users are blocked from accessing the application.","958","should display error message with locked out user","SauceDemo","2026-01-05","passed","2026-01-05","Sign In to the Store > Blocked Sign In","Authentication Tests","",""
"The application requires a username to be entered before signing in.","511","should display error message with empty username","SauceDemo","2026-01-05","passed","2026-01-05","Sign In to the Store > Invalid Sign In","Authentication Tests","",""
"The application rejects sign-in attempts with incorrect username or password.","1071","should display error message with invalid credentials","SauceDemo","2026-01-05","passed","2026-01-05","Sign In to the Store > Invalid Sign In","Authentication Tests","",""
"The application requires a password to be entered before signing in.","487","should display error message with empty password","SauceDemo","2026-01-05","passed","2026-01-05","Sign In to the Store > Invalid Sign In","Authentication Tests","",""
"Verifies that the first product can be added to the cart.","2690","should add first item to cart and verify in cart","SauceDemo","2026-01-05","passed","2026-01-05","Add Item to Cart","Cart Tests","",""
"Verifies that a product can be removed from the cart.","1046","should remove item from cart","SauceDemo","2026-01-05","passed","2026-01-05","Remove Item from Cart","Cart Tests","",""
"Verifies that multiple products can be added to the cart simultaneously.","1096","should add multiple items to cart","SauceDemo","2026-01-05","passed","2026-01-05","Add Item to Cart","Cart Tests","",""
"Verifies that a specific product can be added to the cart by its name.","1217","should add item to cart by name and verify","SauceDemo","2026-01-05","passed","2026-01-05","Add Item to Cart","Cart Tests","",""
