"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","477","should display error message with empty password","","Thu Dec 11 21:36:18 UTC 2025","passed","Thu Dec 11 21:36:19 UTC 2025","","SauceDemo - Login Functionality","",""
"","905","should display error message with invalid credentials","","Thu Dec 11 21:36:17 UTC 2025","passed","Thu Dec 11 21:36:18 UTC 2025","","SauceDemo - Login Functionality","",""
"","1718","should complete full flow: login -> add item -> verify in cart","","Thu Dec 11 21:36:08 UTC 2025","passed","Thu Dec 11 21:36:10 UTC 2025","","SauceDemo - Complete Login and Add to Cart Flow","",""
"","3324","should add first item to cart and verify in cart","","Thu Dec 11 21:35:53 UTC 2025","passed","Thu Dec 11 21:35:57 UTC 2025","","SauceDemo - Add Item to Cart","",""
"","962","should add item to cart and verify item details","","Thu Dec 11 21:35:59 UTC 2025","passed","Thu Dec 11 21:36:00 UTC 2025","","SauceDemo - Add Item to Cart","",""
"","1103","should add item to cart by index and verify","","Thu Dec 11 21:35:57 UTC 2025","passed","Thu Dec 11 21:35:58 UTC 2025","","SauceDemo - Add Item to Cart","",""
"","1244","should successfully login with valid credentials","","Thu Dec 11 21:36:16 UTC 2025","passed","Thu Dec 11 21:36:17 UTC 2025","","SauceDemo - Login Functionality","",""
"","1124","should remove item from cart","","Thu Dec 11 21:36:00 UTC 2025","passed","Thu Dec 11 21:36:01 UTC 2025","","SauceDemo - Add Item to Cart","",""
"","1020","should add multiple items to cart","","Thu Dec 11 21:35:58 UTC 2025","passed","Thu Dec 11 21:35:59 UTC 2025","","SauceDemo - Add Item to Cart","",""
"","757","should display error message with locked out user","","Thu Dec 11 21:36:19 UTC 2025","passed","Thu Dec 11 21:36:20 UTC 2025","","SauceDemo - Login Functionality","",""
"","481","should display error message with empty username","","Thu Dec 11 21:36:18 UTC 2025","passed","Thu Dec 11 21:36:18 UTC 2025","","SauceDemo - Login Functionality","",""
