"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Product Catalog","0","Product Browsing","4","0","Product Details","0"
"0","Shopping","0","Checkout","3","0","Order Confirmation","0"
"0","","0","","0","51","","0"
"0","Product Catalog","0","Product Browsing","4","0","Sort Products","0"
"0","Shopping","0","Cart","1","0","Cart Persistence","0"
"0","Shopping","0","Cart","7","0","View Cart","0"
"0","Shopping","0","Cart","3","0","Remove from Cart","0"
"0","Platform","0","Load Time","1","0","Page Load Time","0"
"0","Shopping","0","Checkout","3","0","Order Summary","0"
"0","User Management","0","Authentication","1","0","Session Management","0"
"0","Shopping","0","Cart","4","0","Add to Cart","0"
"0","User Experience","0","App State","1","0","Reset State","0"
"0","User Management","0","Authentication","4","0","Invalid Credentials","0"
"0","User Management","0","Authentication","1","0","Account Security","0"
"0","Shopping","0","Checkout","2","0","Complete Order","0"
"0","User Management","0","Authentication","1","0","Logout","0"
"0","User Experience","0","Navigation","2","0","Menu Navigation","0"
"0","User Management","0","Authentication","1","0","Valid Credentials","0"
"0","User Experience","0","Responsive Design","1","0","Mobile Viewport","0"
"0","Shopping","0","Checkout","5","0","Shipping Information","0"
"0","Product Catalog","0","Product Browsing","1","0","Product Display","0"
"0","Platform","0","Security","1","0","Protected Routes","0"
