"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2357","should add first item to cart and verify in cart","SauceDemo","2026-01-03","skipped","2026-01-03","Add Item to Cart","Cart Tests","",""
"","136","should display error message with empty password","SauceDemo","2026-01-03","skipped","2026-01-03","Sign In to the Store > Invalid Sign In","Authentication Tests","",""
"","203","should successfully login with valid credentials","SauceDemo","2026-01-03","skipped","2026-01-03","Sign In to the Store","Authentication Tests","",""
"","140","should display error message with empty username","SauceDemo","2026-01-03","skipped","2026-01-03","Sign In to the Store > Invalid Sign In","Authentication Tests","",""
"Verifies that a specific product can be added to the cart by its name.","2302","should add item to cart by name and verify","SauceDemo","2026-01-03","passed","2026-01-03","Add Item to Cart","Cart Tests","",""
"Verifies that multiple products can be added to the cart simultaneously.","1297","should add multiple items to cart","SauceDemo","2026-01-03","passed","2026-01-03","Add Item to Cart","Cart Tests","",""
"","202","should display error message with locked out user","SauceDemo","2026-01-03","skipped","2026-01-03","Sign In to the Store > Blocked Sign In","Authentication Tests","",""
"","698","should add item to cart and verify item details","SauceDemo","2026-01-03","skipped","2026-01-03","Add Item to Cart","Cart Tests","",""
"","642","should remove item from cart","SauceDemo","2026-01-03","skipped","2026-01-03","Remove Item from Cart","Cart Tests","",""
"","145","should display error message with invalid credentials","SauceDemo","2026-01-03","skipped","2026-01-03","Sign In to the Store > Invalid Sign In","Authentication Tests","",""
