"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","TC-038: should enter valid checkout information","chromium","2026-01-02","skipped","2026-01-02","Shipping Information","","",""
"Verify that multiple different items can be added to the cart.","1032","TC-024: should add multiple items to cart","SauceDemo","2026-01-02","passed","2026-01-02","Add to Cart","Cart Tests","",""
"","0","TC-022: back to products button redirects to inventory page","chromium","2026-01-02","skipped","2026-01-02","Product Details","","",""
"Cart badge shows 0 when empty, increments on add, decrements on remove.","1440","TC-030: cart badge reflects number of items added and removed","SauceDemo","2026-01-02","passed","2026-01-02","View Cart","Cart Tests","",""
"","5","TC-027: should remove item from cart page","chromium","2026-01-02","skipped","2026-01-02","Remove from Cart","","",""
"","0","TC-040: should validate missing last name","chromium","2026-01-02","skipped","2026-01-02","Shipping Information","","",""
"","0","TC-051: should redirect to login when accessing inventory page directly","chromium","2026-01-02","skipped","2026-01-02","Protected Routes","","",""
"","0","TC-050: mobile viewport displays inventory items and toggles menu","chromium","2026-01-02","skipped","2026-01-02","Mobile Viewport","","",""
"","1","TC-001: valid users redirect to inventory page after login","chromium","2026-01-02","skipped","2026-01-02","Valid Credentials","","",""
"","0","TC-042: should cancel checkout","chromium","2026-01-02","skipped","2026-01-02","Shipping Information","","",""
"Clicking Checkout from cart redirects to checkout information page.","1331","TC-033: checkout button redirects to checkout step one","SauceDemo","2026-01-02","passed","2026-01-02","View Cart","Cart Tests","",""
"","0","TC-039: should validate missing first name","chromium","2026-01-02","skipped","2026-01-02","Shipping Information","","",""
"","0","TC-008: should display error with empty username","chromium","2026-01-02","skipped","2026-01-02","Invalid Credentials","","",""
"","1","TC-024: should add multiple items to cart","chromium","2026-01-02","skipped","2026-01-02","Add to Cart","","",""
"Verify that adding the same item twice does not duplicate it in cart.","1004","TC-025: should not add same item twice","SauceDemo","2026-01-02","passed","2026-01-02","Add to Cart","Cart Tests","",""
"","0","TC-053: should display payment and shipping information","chromium","2026-01-02","skipped","2026-01-02","Order Summary","","",""
"","0","TC-031: should persist cart after logout and login","chromium","2026-01-02","skipped","2026-01-02","Cart Persistence","","",""
"","0","TC-016: should add product to cart from detail page","chromium","2026-01-02","skipped","2026-01-02","Product Details","","",""
"Verify that item can be removed from cart on product detail page.","1064","TC-072: should remove item from detail page","SauceDemo","2026-01-02","passed","2026-01-02","Product Details","Product Catalog Tests","",""
"","0","TC-052: should load performance inventory page within acceptable time","chromium","2026-01-02","skipped","2026-01-02","Page Load Time","","",""
"","1","TC-055: order confirmation page shows thank you message","chromium","2026-01-02","skipped","2026-01-02","Order Confirmation","","",""
"Clicking cart icon in header redirects to cart page.","870","TC-075: cart icon in header redirects to cart page","SauceDemo","2026-01-02","passed","2026-01-02","Menu Navigation","User Experience Tests","",""
"Verify that a product can be added to cart from the detail page.","998","TC-016: should add product to cart from detail page","SauceDemo","2026-01-02","passed","2026-01-02","Product Details","Product Catalog Tests","",""
"Verify that all items can be removed from the cart.","1229","TC-028: should remove all items from cart","SauceDemo","2026-01-02","passed","2026-01-02","Remove from Cart","Cart Tests","",""
"After checkout, Back Home returns to inventory with an empty cart badge.","1322","TC-078: cart is empty after completing purchase and returning to inventory","SauceDemo","2026-01-02","passed","2026-01-02","Complete Order","Checkout Tests","",""
"","0","TC-033: checkout button redirects to checkout step one","chromium","2026-01-02","skipped","2026-01-02","View Cart","","",""
"","0","TC-072: should remove item from detail page","chromium","2026-01-02","skipped","2026-01-02","Product Details","","",""
"Cart item count matches number of products added from inventory.","1470","TC-036: cart shows 3 items when 3 products are added","SauceDemo","2026-01-02","passed","2026-01-02","View Cart","Cart Tests","",""
"Clicking Continue Shopping from cart redirects to inventory page.","1462","TC-032: continue shopping button redirects to inventory page","SauceDemo","2026-01-02","passed","2026-01-02","View Cart","Cart Tests","",""
"","0","TC-017: should sort products A-Z","chromium","2026-01-02","skipped","2026-01-02","Sort Products","","",""
"","0","TC-075: cart icon in header redirects to cart page","chromium","2026-01-02","skipped","2026-01-02","Menu Navigation","","",""
"","0","TC-030: cart badge reflects number of items added and removed","chromium","2026-01-02","skipped","2026-01-02","View Cart","","",""
"","1","TC-010: should block locked out user","chromium","2026-01-02","skipped","2026-01-02","Account Security","","",""
"","0","TC-018: should sort products Z-A","chromium","2026-01-02","skipped","2026-01-02","Sort Products","","",""
"Verify that an item can be removed from cart while on inventory page.","1026","TC-026: should remove item from inventory page","SauceDemo","2026-01-02","passed","2026-01-02","Remove from Cart","Cart Tests","",""
"","0","TC-046: should display order confirmation","chromium","2026-01-02","skipped","2026-01-02","Order Confirmation","","",""
"Cart page displays each item that was added from inventory.","1379","TC-029: cart page shows all added items","SauceDemo","2026-01-02","passed","2026-01-02","View Cart","Cart Tests","",""
"","0","TC-036: cart shows 3 items when 3 products are added","chromium","2026-01-02","skipped","2026-01-02","View Cart","","",""
"","1","TC-012: should persist session after page refresh","chromium","2026-01-02","skipped","2026-01-02","Session Management","","",""
"","0","TC-049: should reset app state","chromium","2026-01-02","skipped","2026-01-02","Reset State","","",""
"","0","TC-029: cart page shows all added items","chromium","2026-01-02","skipped","2026-01-02","View Cart","","",""
"Verify that cart contents persist after logout and login.","2397","TC-031: should persist cart after logout and login","SauceDemo","2026-01-02","passed","2026-01-02","Cart Persistence","Cart Tests","",""
"","0","TC-048: hamburger menu toggles between open and closed states","chromium","2026-01-02","skipped","2026-01-02","Menu Navigation","","",""
"","0","TC-032: continue shopping button redirects to inventory page","chromium","2026-01-02","skipped","2026-01-02","View Cart","","",""
"","0","TC-037: should add item from product detail page","chromium","2026-01-02","skipped","2026-01-02","Add to Cart","","",""
"","0","TC-044: should display ordered product items in summary","chromium","2026-01-02","skipped","2026-01-02","Order Summary","","",""
"Verify that an item can be added to cart from the product detail page.","989","TC-037: should add item from product detail page","SauceDemo","2026-01-02","passed","2026-01-02","Add to Cart","Cart Tests","",""
"","0","TC-009: should display error with empty password","chromium","2026-01-02","skipped","2026-01-02","Invalid Credentials","","",""
"","0","TC-060: should verify item no longer in cart after removal","chromium","2026-01-02","skipped","2026-01-02","View Cart","","",""
"","0","TC-045: finish button redirects to order confirmation page","chromium","2026-01-02","skipped","2026-01-02","Complete Order","","",""
"Verify that removed item is no longer displayed in cart.","1252","TC-060: should verify item no longer in cart after removal","SauceDemo","2026-01-02","passed","2026-01-02","View Cart","Cart Tests","",""
